variable,units,mean,stdev,n,group,month,year,county,station,depth
Dissolved Oxygen,percent saturation,105.157,4.199,8063,county_month_year,2,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,1.975,0.642,69887,county_month_year,2,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,11.085,0.408,7803,county_month_year,3,2022,Lunenburg,NA,NA
Dissolved Oxygen,percent saturation,105.471,2.808,3874,county_month_year,3,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,3.003,0.665,77376,county_month_year,3,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,4.008,0.753,74880,county_month_year,4,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,10.68,0.421,6851,county_month_year,5,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,6.099,1.99,84238,county_month_year,5,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,9.893,0.88,14388,county_month_year,6,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,7.578,3.141,81348,county_month_year,6,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,10.002,0.894,14878,county_month_year,7,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,7,2.748,84070,county_month_year,7,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,9.022,1.698,14880,county_month_year,8,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,10.796,5.308,84072,county_month_year,8,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,7.51,1.137,14400,county_month_year,9,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,14.141,4.356,81360,county_month_year,9,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,7.378,1.147,14880,county_month_year,10,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,13.921,1.196,84072,county_month_year,10,2022,Lunenburg,NA,NA
Dissolved Oxygen,mg/L,7.679,0.949,5851,county_month_year,11,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,11.898,1.571,29685,county_month_year,11,2022,Lunenburg,NA,NA
Temperature,degrees Celsius,21.252,1.649,1430,county_month_year,7,2017,Pictou,NA,NA
Temperature,degrees Celsius,21.814,1.75,11842,county_month_year,8,2017,Pictou,NA,NA
Temperature,degrees Celsius,19.165,1.703,11520,county_month_year,9,2017,Pictou,NA,NA
Temperature,degrees Celsius,13.854,2.053,11681,county_month_year,10,2017,Pictou,NA,NA
Temperature,degrees Celsius,6.537,3.52,2779,county_month_year,11,2017,Pictou,NA,NA
Temperature,degrees Celsius,11.947,1.854,1984,county_month_year,5,2018,Pictou,NA,NA
Temperature,degrees Celsius,14.322,2.256,5760,county_month_year,6,2018,Pictou,NA,NA
Temperature,degrees Celsius,22.27,2.152,5952,county_month_year,7,2018,Pictou,NA,NA
Temperature,degrees Celsius,23.849,1.678,5952,county_month_year,8,2018,Pictou,NA,NA
Temperature,degrees Celsius,18.799,2.394,5760,county_month_year,9,2018,Pictou,NA,NA
Temperature,degrees Celsius,13.5,1.832,2530,county_month_year,10,2018,Pictou,NA,NA
Dissolved Oxygen,percent saturation,99.353,2.193,4331,county_month_year,10,2020,Pictou,NA,NA
Temperature,degrees Celsius,13.352,2.357,11538,county_month_year,10,2020,Pictou,NA,NA
Dissolved Oxygen,percent saturation,98.295,1.33,4321,county_month_year,11,2020,Pictou,NA,NA
Temperature,degrees Celsius,7.814,1.678,11521,county_month_year,11,2020,Pictou,NA,NA
Dissolved Oxygen,percent saturation,98.019,1.223,4466,county_month_year,12,2020,Pictou,NA,NA
Temperature,degrees Celsius,5.044,1.995,11906,county_month_year,12,2020,Pictou,NA,NA
Dissolved Oxygen,percent saturation,100.191,1.378,4465,county_month_year,1,2021,Pictou,NA,NA
Temperature,degrees Celsius,1.012,1.047,11905,county_month_year,1,2021,Pictou,NA,NA
Dissolved Oxygen,percent saturation,101.011,1.764,4034,county_month_year,2,2021,Pictou,NA,NA
Temperature,degrees Celsius,-0.872,0.615,10754,county_month_year,2,2021,Pictou,NA,NA
Dissolved Oxygen,percent saturation,100.267,2.729,2820,county_month_year,3,2021,Pictou,NA,NA
Temperature,degrees Celsius,-0.179,1.34,10546,county_month_year,3,2021,Pictou,NA,NA
Temperature,degrees Celsius,4.275,1.651,8642,county_month_year,4,2021,Pictou,NA,NA
Temperature,degrees Celsius,8.874,2.405,8929,county_month_year,5,2021,Pictou,NA,NA
Temperature,degrees Celsius,14.97,2.433,7643,county_month_year,6,2021,Pictou,NA,NA
Temperature,degrees Celsius,18.123,2.005,6696,county_month_year,7,2021,Pictou,NA,NA
Temperature,degrees Celsius,20.548,1.829,6696,county_month_year,8,2021,Pictou,NA,NA
Temperature,degrees Celsius,18.582,1.064,6480,county_month_year,9,2021,Pictou,NA,NA
Temperature,degrees Celsius,14.307,1.602,6696,county_month_year,10,2021,Pictou,NA,NA
Temperature,degrees Celsius,8.722,1.857,6480,county_month_year,11,2021,Pictou,NA,NA
Temperature,degrees Celsius,2.876,2.369,6375,county_month_year,12,2021,Pictou,NA,NA
Temperature,degrees Celsius,-0.962,0.881,3720,county_month_year,1,2022,Pictou,NA,NA
Temperature,degrees Celsius,-1.196,0.479,3360,county_month_year,2,2022,Pictou,NA,NA
Temperature,degrees Celsius,-0.197,1.162,3720,county_month_year,3,2022,Pictou,NA,NA
Temperature,degrees Celsius,3.935,1.945,3600,county_month_year,4,2022,Pictou,NA,NA
Temperature,degrees Celsius,9.724,3.061,3604,county_month_year,5,2022,Pictou,NA,NA
Dissolved Oxygen,percent saturation,114.068,4.068,3888,county_month_year,6,2022,Pictou,NA,NA
Temperature,degrees Celsius,13.181,1.656,8140,county_month_year,6,2022,Pictou,NA,NA
Temperature,degrees Celsius,18.943,1.883,8184,county_month_year,7,2022,Pictou,NA,NA
Dissolved Oxygen,percent saturation,109.879,5.809,4176,county_month_year,8,2022,Pictou,NA,NA
Temperature,degrees Celsius,20.713,0.917,8184,county_month_year,8,2022,Pictou,NA,NA
Temperature,degrees Celsius,18.293,1.986,7817,county_month_year,9,2022,Pictou,NA,NA
Dissolved Oxygen,percent saturation,113.083,1.707,735,county_month_year,6,2020,Queens,NA,NA
Temperature,degrees Celsius,9.052,1.746,1838,county_month_year,6,2020,Queens,NA,NA
Dissolved Oxygen,percent saturation,113.304,3.059,4464,county_month_year,7,2020,Queens,NA,NA
Temperature,degrees Celsius,9.67,3.069,11160,county_month_year,7,2020,Queens,NA,NA
Dissolved Oxygen,percent saturation,117.223,2.936,4464,county_month_year,8,2020,Queens,NA,NA
Temperature,degrees Celsius,9.297,4.302,11160,county_month_year,8,2020,Queens,NA,NA
Dissolved Oxygen,percent saturation,112.833,7.409,4320,county_month_year,9,2020,Queens,NA,NA
Temperature,degrees Celsius,13.745,2.569,10800,county_month_year,9,2020,Queens,NA,NA
Dissolved Oxygen,percent saturation,107.878,5.283,4464,county_month_year,10,2020,Queens,NA,NA
Temperature,degrees Celsius,11.584,2.728,11160,county_month_year,10,2020,Queens,NA,NA
Dissolved Oxygen,percent saturation,106.035,1.624,4320,county_month_year,11,2020,Queens,NA,NA
Temperature,degrees Celsius,10.133,1.01,10800,county_month_year,11,2020,Queens,NA,NA
Dissolved Oxygen,percent saturation,106.765,2.012,4464,county_month_year,12,2020,Queens,NA,NA
Temperature,degrees Celsius,7.697,1.008,11160,county_month_year,12,2020,Queens,NA,NA
Dissolved Oxygen,percent saturation,108.071,1.382,4464,county_month_year,1,2021,Queens,NA,NA
Temperature,degrees Celsius,5.28,0.668,11160,county_month_year,1,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,110.195,1.834,4032,county_month_year,2,2021,Queens,NA,NA
Temperature,degrees Celsius,3.017,0.435,10080,county_month_year,2,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,110.684,2.937,4464,county_month_year,3,2021,Queens,NA,NA
Temperature,degrees Celsius,3.188,0.606,11160,county_month_year,3,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,116.615,2.111,4320,county_month_year,4,2021,Queens,NA,NA
Temperature,degrees Celsius,4.006,0.698,10800,county_month_year,4,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,117.072,2.039,1122,county_month_year,5,2021,Queens,NA,NA
Temperature,degrees Celsius,5.203,0.845,11160,county_month_year,5,2021,Queens,NA,NA
Temperature,degrees Celsius,6.506,1.331,10800,county_month_year,6,2021,Queens,NA,NA
Temperature,degrees Celsius,11.387,2.213,11160,county_month_year,7,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,112.236,2.683,2611,county_month_year,8,2021,Queens,NA,NA
Temperature,degrees Celsius,11.368,2.425,11134,county_month_year,8,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,103.706,4.409,4321,county_month_year,9,2021,Queens,NA,NA
Temperature,degrees Celsius,13.071,3.283,10801,county_month_year,9,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,97.133,5.617,4466,county_month_year,10,2021,Queens,NA,NA
Temperature,degrees Celsius,15.706,1.372,11162,county_month_year,10,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,93.383,3.899,4321,county_month_year,11,2021,Queens,NA,NA
Temperature,degrees Celsius,12.01,1.272,10801,county_month_year,11,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,91.179,4.237,4466,county_month_year,12,2021,Queens,NA,NA
Temperature,degrees Celsius,7.768,1.083,11162,county_month_year,12,2021,Queens,NA,NA
Dissolved Oxygen,percent saturation,98.791,3.351,4465,county_month_year,1,2022,Queens,NA,NA
Temperature,degrees Celsius,4.566,1.009,11161,county_month_year,1,2022,Queens,NA,NA
Dissolved Oxygen,percent saturation,99.027,3.279,4033,county_month_year,2,2022,Queens,NA,NA
Temperature,degrees Celsius,2.865,0.689,10081,county_month_year,2,2022,Queens,NA,NA
Dissolved Oxygen,percent saturation,95.819,5.777,4466,county_month_year,3,2022,Queens,NA,NA
Temperature,degrees Celsius,3.836,0.416,11162,county_month_year,3,2022,Queens,NA,NA
Dissolved Oxygen,percent saturation,99.766,5.608,2959,county_month_year,4,2022,Queens,NA,NA
Temperature,degrees Celsius,4.125,0.579,10801,county_month_year,4,2022,Queens,NA,NA
Temperature,degrees Celsius,5.906,1.319,11162,county_month_year,5,2022,Queens,NA,NA
Temperature,degrees Celsius,7.556,2.187,10801,county_month_year,6,2022,Queens,NA,NA
Temperature,degrees Celsius,6.374,1.176,11162,county_month_year,7,2022,Queens,NA,NA
Temperature,degrees Celsius,6.619,0.819,3445,county_month_year,8,2022,Queens,NA,NA
Temperature,degrees Celsius,6.777,0.375,630,county_month_year,11,2015,Richmond,NA,NA
Temperature,degrees Celsius,5.058,0.765,4464,county_month_year,12,2015,Richmond,NA,NA
Temperature,degrees Celsius,2.007,0.741,4464,county_month_year,1,2016,Richmond,NA,NA
Temperature,degrees Celsius,0.928,0.451,4176,county_month_year,2,2016,Richmond,NA,NA
Temperature,degrees Celsius,1.003,0.293,4464,county_month_year,3,2016,Richmond,NA,NA
Temperature,degrees Celsius,1.811,0.796,4320,county_month_year,4,2016,Richmond,NA,NA
Temperature,degrees Celsius,3.889,1.581,4464,county_month_year,5,2016,Richmond,NA,NA
Temperature,degrees Celsius,7.217,2.026,4320,county_month_year,6,2016,Richmond,NA,NA
Temperature,degrees Celsius,9.954,2.906,4464,county_month_year,7,2016,Richmond,NA,NA
Temperature,degrees Celsius,15.367,4.047,3387,county_month_year,8,2016,Richmond,NA,NA
Temperature,degrees Celsius,16.227,1.641,2508,county_month_year,9,2016,Richmond,NA,NA
Temperature,degrees Celsius,13.413,2.151,3720,county_month_year,10,2016,Richmond,NA,NA
Temperature,degrees Celsius,9.112,0.808,3600,county_month_year,11,2016,Richmond,NA,NA
Temperature,degrees Celsius,4.391,1.74,3720,county_month_year,12,2016,Richmond,NA,NA
Temperature,degrees Celsius,1.887,0.682,3720,county_month_year,1,2017,Richmond,NA,NA
Temperature,degrees Celsius,0.433,0.734,3360,county_month_year,2,2017,Richmond,NA,NA
Temperature,degrees Celsius,-0.037,0.454,3720,county_month_year,3,2017,Richmond,NA,NA
Temperature,degrees Celsius,1.187,1.279,3600,county_month_year,4,2017,Richmond,NA,NA
Temperature,degrees Celsius,4.356,1.874,3720,county_month_year,5,2017,Richmond,NA,NA
Temperature,degrees Celsius,6.766,2.451,3600,county_month_year,6,2017,Richmond,NA,NA
Temperature,degrees Celsius,11.673,3.236,3720,county_month_year,7,2017,Richmond,NA,NA
Temperature,degrees Celsius,14.865,2.778,3720,county_month_year,8,2017,Richmond,NA,NA
Temperature,degrees Celsius,16.27,2.237,3472,county_month_year,9,2017,Richmond,NA,NA
Temperature,degrees Celsius,14.538,1.298,3720,county_month_year,10,2017,Richmond,NA,NA
Temperature,degrees Celsius,9.656,1.688,3600,county_month_year,11,2017,Richmond,NA,NA
Temperature,degrees Celsius,4.759,2.066,3720,county_month_year,12,2017,Richmond,NA,NA
Temperature,degrees Celsius,0.439,0.635,3720,county_month_year,1,2018,Richmond,NA,NA
Temperature,degrees Celsius,0.197,0.305,3360,county_month_year,2,2018,Richmond,NA,NA
Temperature,degrees Celsius,0.692,0.464,3720,county_month_year,3,2018,Richmond,NA,NA
Temperature,degrees Celsius,2.228,0.864,3600,county_month_year,4,2018,Richmond,NA,NA
Temperature,degrees Celsius,4.241,1.615,3720,county_month_year,5,2018,Richmond,NA,NA
Temperature,degrees Celsius,6.893,2.382,3600,county_month_year,6,2018,Richmond,NA,NA
Temperature,degrees Celsius,9.63,3.152,3720,county_month_year,7,2018,Richmond,NA,NA
Temperature,degrees Celsius,14.85,3.598,3720,county_month_year,8,2018,Richmond,NA,NA
Temperature,degrees Celsius,16.333,2.466,2229,county_month_year,9,2018,Richmond,NA,NA
Temperature,degrees Celsius,12.14,2.567,1488,county_month_year,10,2018,Richmond,NA,NA
Temperature,degrees Celsius,6.776,2.034,1440,county_month_year,11,2018,Richmond,NA,NA
Temperature,degrees Celsius,2.351,0.596,9955,county_month_year,12,2018,Richmond,NA,NA
Temperature,degrees Celsius,0.554,0.452,23143,county_month_year,1,2019,Richmond,NA,NA
Temperature,degrees Celsius,-0.924,0.79,20748,county_month_year,2,2019,Richmond,NA,NA
Temperature,degrees Celsius,-0.99,0.65,22971,county_month_year,3,2019,Richmond,NA,NA
Temperature,degrees Celsius,0.198,0.51,31513,county_month_year,4,2019,Richmond,NA,NA
Temperature,degrees Celsius,3.058,1.228,7335,county_month_year,5,2019,Richmond,NA,NA
Temperature,degrees Celsius,6.656,2.226,7096,county_month_year,6,2019,Richmond,NA,NA
Temperature,degrees Celsius,12.343,2.89,7333,county_month_year,7,2019,Richmond,NA,NA
Temperature,degrees Celsius,16.465,3.846,7332,county_month_year,8,2019,Richmond,NA,NA
Temperature,degrees Celsius,13.061,3.453,7097,county_month_year,9,2019,Richmond,NA,NA
Temperature,degrees Celsius,11.222,0.458,7335,county_month_year,10,2019,Richmond,NA,NA
Temperature,degrees Celsius,8.441,1.317,7100,county_month_year,11,2019,Richmond,NA,NA
Temperature,degrees Celsius,4.375,1.088,7335,county_month_year,12,2019,Richmond,NA,NA
Temperature,degrees Celsius,1.397,0.813,7334,county_month_year,1,2020,Richmond,NA,NA
Temperature,degrees Celsius,-0.352,0.471,6861,county_month_year,2,2020,Richmond,NA,NA
Temperature,degrees Celsius,-0.511,0.356,7335,county_month_year,3,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,105.756,0.159,9,county_month_year,4,2020,Richmond,NA,NA
Temperature,degrees Celsius,0.822,0.82,6821,county_month_year,4,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,106.763,2.999,4465,county_month_year,5,2020,Richmond,NA,NA
Temperature,degrees Celsius,3.747,1.699,11161,county_month_year,5,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,110.818,3.129,4322,county_month_year,6,2020,Richmond,NA,NA
Temperature,degrees Celsius,7.262,2.765,10802,county_month_year,6,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,109.807,1.964,4465,county_month_year,7,2020,Richmond,NA,NA
Temperature,degrees Celsius,11.891,3.375,11161,county_month_year,7,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,107.615,3.943,4466,county_month_year,8,2020,Richmond,NA,NA
Temperature,degrees Celsius,15.683,3.381,11162,county_month_year,8,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,103.391,2.668,4304,county_month_year,9,2020,Richmond,NA,NA
Temperature,degrees Celsius,16.295,1.512,10801,county_month_year,9,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,100.631,2.619,4466,county_month_year,10,2020,Richmond,NA,NA
Temperature,degrees Celsius,12.843,1.855,11162,county_month_year,10,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,101.59,1.85,4321,county_month_year,11,2020,Richmond,NA,NA
Temperature,degrees Celsius,8.644,0.989,10801,county_month_year,11,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,103.977,1.805,4457,county_month_year,12,2020,Richmond,NA,NA
Temperature,degrees Celsius,5.99,1.183,11144,county_month_year,12,2020,Richmond,NA,NA
Dissolved Oxygen,percent saturation,105.799,0.53,4465,county_month_year,1,2021,Richmond,NA,NA
Temperature,degrees Celsius,3.063,0.757,11161,county_month_year,1,2021,Richmond,NA,NA
Dissolved Oxygen,percent saturation,107.509,0.782,4032,county_month_year,2,2021,Richmond,NA,NA
Temperature,degrees Celsius,1.373,0.586,10080,county_month_year,2,2021,Richmond,NA,NA
Dissolved Oxygen,percent saturation,109.564,1.919,2680,county_month_year,3,2021,Richmond,NA,NA
Temperature,degrees Celsius,0.929,0.48,11160,county_month_year,3,2021,Richmond,NA,NA
Temperature,degrees Celsius,2.874,0.77,10800,county_month_year,4,2021,Richmond,NA,NA
Temperature,degrees Celsius,4.843,1.33,11160,county_month_year,5,2021,Richmond,NA,NA
Temperature,degrees Celsius,7.999,2.346,10800,county_month_year,6,2021,Richmond,NA,NA
Temperature,degrees Celsius,12.373,2.508,11160,county_month_year,7,2021,Richmond,NA,NA
Temperature,degrees Celsius,15.76,2.864,11160,county_month_year,8,2021,Richmond,NA,NA
Dissolved Oxygen,percent saturation,101.695,5.785,2209,county_month_year,9,2021,Richmond,NA,NA
Temperature,degrees Celsius,17.444,1.196,10782,county_month_year,9,2021,Richmond,NA,NA
Dissolved Oxygen,percent saturation,97.527,3.083,4465,county_month_year,10,2021,Richmond,NA,NA
Temperature,degrees Celsius,14.615,1.674,11161,county_month_year,10,2021,Richmond,NA,NA
Dissolved Oxygen,percent saturation,97.661,2.174,4322,county_month_year,11,2021,Richmond,NA,NA
Temperature,degrees Celsius,9.902,1.451,10802,county_month_year,11,2021,Richmond,NA,NA
Dissolved Oxygen,percent saturation,97.625,0.943,4465,county_month_year,12,2021,Richmond,NA,NA
Temperature,degrees Celsius,5.176,1.399,11161,county_month_year,12,2021,Richmond,NA,NA
Dissolved Oxygen,percent saturation,98.886,1.301,4466,county_month_year,1,2022,Richmond,NA,NA
Temperature,degrees Celsius,2.371,0.951,11162,county_month_year,1,2022,Richmond,NA,NA
Dissolved Oxygen,percent saturation,101.277,1.532,3673,county_month_year,2,2022,Richmond,NA,NA
Temperature,degrees Celsius,1.462,0.41,10081,county_month_year,2,2022,Richmond,NA,NA
Temperature,degrees Celsius,1.106,0.571,11161,county_month_year,3,2022,Richmond,NA,NA
Temperature,degrees Celsius,2.1,0.772,10802,county_month_year,4,2022,Richmond,NA,NA
Temperature,degrees Celsius,4.811,1.603,11161,county_month_year,5,2022,Richmond,NA,NA
Temperature,degrees Celsius,8.181,2.696,10802,county_month_year,6,2022,Richmond,NA,NA
Temperature,degrees Celsius,10.87,3.28,9919,county_month_year,7,2022,Richmond,NA,NA
Dissolved Oxygen,percent saturation,103.493,1.824,74199,county_month_year,2,2018,Shelburne,NA,NA
Temperature,degrees Celsius,2.828,0.304,83630,county_month_year,2,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,105.141,2.904,151255,county_month_year,3,2018,Shelburne,NA,NA
Temperature,degrees Celsius,2.808,0.415,170606,county_month_year,3,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.612,2.599,114818,county_month_year,4,2018,Shelburne,NA,NA
Temperature,degrees Celsius,4.205,0.908,165110,county_month_year,4,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.35,2.65,66913,county_month_year,5,2018,Shelburne,NA,NA
Temperature,degrees Celsius,6.523,1.333,181604,county_month_year,5,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.661,1.788,30451,county_month_year,6,2018,Shelburne,NA,NA
Temperature,degrees Celsius,8.17,1.497,160189,county_month_year,6,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,108.213,1.997,21603,county_month_year,7,2018,Shelburne,NA,NA
Temperature,degrees Celsius,9.138,2.347,146664,county_month_year,7,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.914,2.709,21602,county_month_year,8,2018,Shelburne,NA,NA
Temperature,degrees Celsius,9.805,2.894,146673,county_month_year,8,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,108.336,3.361,22220,county_month_year,9,2018,Shelburne,NA,NA
Temperature,degrees Celsius,15.756,2.384,141948,county_month_year,9,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.626,2.636,43179,county_month_year,10,2018,Shelburne,NA,NA
Temperature,degrees Celsius,12.478,3.826,146674,county_month_year,10,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.877,3.298,41790,county_month_year,11,2018,Shelburne,NA,NA
Temperature,degrees Celsius,7.548,1.428,141939,county_month_year,11,2018,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.456,3.109,13045,county_month_year,12,2018,Shelburne,NA,NA
Temperature,degrees Celsius,4.765,0.82,73864,county_month_year,12,2018,Shelburne,NA,NA
Temperature,degrees Celsius,2.505,0.707,38676,county_month_year,1,2019,Shelburne,NA,NA
Temperature,degrees Celsius,1.698,0.931,39004,county_month_year,2,2019,Shelburne,NA,NA
Temperature,degrees Celsius,1.079,0.753,44640,county_month_year,3,2019,Shelburne,NA,NA
Temperature,degrees Celsius,2.766,1.045,43200,county_month_year,4,2019,Shelburne,NA,NA
Temperature,degrees Celsius,4.999,1.363,44640,county_month_year,5,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,112.067,2.989,4654,county_month_year,6,2019,Shelburne,NA,NA
Temperature,degrees Celsius,6.145,2.071,92367,county_month_year,6,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,114.244,3.936,8932,county_month_year,7,2019,Shelburne,NA,NA
Temperature,degrees Celsius,8.717,2.421,85693,county_month_year,7,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,115.586,3.475,5329,county_month_year,8,2019,Shelburne,NA,NA
Temperature,degrees Celsius,9.654,2.598,52828,county_month_year,8,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.759,4.823,10804,county_month_year,9,2019,Shelburne,NA,NA
Temperature,degrees Celsius,13.457,1.781,51128,county_month_year,9,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.761,6.931,16277,county_month_year,10,2019,Shelburne,NA,NA
Temperature,degrees Celsius,12.285,0.701,52829,county_month_year,10,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,105.118,7.272,15705,county_month_year,11,2019,Shelburne,NA,NA
Temperature,degrees Celsius,9.447,1.33,51500,county_month_year,11,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.046,3.529,13041,county_month_year,12,2019,Shelburne,NA,NA
Temperature,degrees Celsius,6.547,0.933,53331,county_month_year,12,2019,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,109.498,3.293,17861,county_month_year,1,2020,Shelburne,NA,NA
Temperature,degrees Celsius,4.05,0.924,52675,county_month_year,1,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,109.738,3.793,15810,county_month_year,2,2020,Shelburne,NA,NA
Temperature,degrees Celsius,2.675,0.41,48033,county_month_year,2,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,112.527,4.34,13396,county_month_year,3,2020,Shelburne,NA,NA
Temperature,degrees Celsius,2.925,0.405,51342,county_month_year,3,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,112.06,2.105,8643,county_month_year,4,2020,Shelburne,NA,NA
Temperature,degrees Celsius,3.308,0.778,49688,county_month_year,4,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,109.277,4.038,5186,county_month_year,5,2020,Shelburne,NA,NA
Temperature,degrees Celsius,5.185,1.218,51343,county_month_year,5,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,111.551,5.386,4321,county_month_year,6,2020,Shelburne,NA,NA
Temperature,degrees Celsius,7.675,1.942,49466,county_month_year,6,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,112.589,2.576,2810,county_month_year,7,2020,Shelburne,NA,NA
Temperature,degrees Celsius,9.986,2.594,47625,county_month_year,7,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.393,2.558,1593,county_month_year,8,2020,Shelburne,NA,NA
Temperature,degrees Celsius,9.677,2.999,47957,county_month_year,8,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,105.913,2.63,6345,county_month_year,9,2020,Shelburne,NA,NA
Temperature,degrees Celsius,13.249,2.588,43930,county_month_year,9,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,104.293,5.203,8930,county_month_year,10,2020,Shelburne,NA,NA
Temperature,degrees Celsius,11.576,2.372,46132,county_month_year,10,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,103.184,3.622,12962,county_month_year,11,2020,Shelburne,NA,NA
Temperature,degrees Celsius,9.342,1.023,44642,county_month_year,11,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,103.887,4.316,13395,county_month_year,12,2020,Shelburne,NA,NA
Temperature,degrees Celsius,7.452,0.965,46131,county_month_year,12,2020,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,104.997,3.826,12336,county_month_year,1,2021,Shelburne,NA,NA
Temperature,degrees Celsius,5.239,0.79,45072,county_month_year,1,2021,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,105.647,4.051,8065,county_month_year,2,2021,Shelburne,NA,NA
Temperature,degrees Celsius,3.118,0.5,36168,county_month_year,2,2021,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,109.279,4.637,4838,county_month_year,3,2021,Shelburne,NA,NA
Temperature,degrees Celsius,3.753,0.625,35714,county_month_year,3,2021,Shelburne,NA,NA
Temperature,degrees Celsius,4.298,0.739,32703,county_month_year,4,2021,Shelburne,NA,NA
Temperature,degrees Celsius,6.114,1.072,18600,county_month_year,5,2021,Shelburne,NA,NA
Temperature,degrees Celsius,7.741,1.538,18000,county_month_year,6,2021,Shelburne,NA,NA
Temperature,degrees Celsius,10.726,1.984,18600,county_month_year,7,2021,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.673,4.331,8052,county_month_year,8,2021,Shelburne,NA,NA
Temperature,degrees Celsius,10.264,1.89,35597,county_month_year,8,2021,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,102.027,5.768,12961,county_month_year,9,2021,Shelburne,NA,NA
Temperature,degrees Celsius,11.68,3.502,45361,county_month_year,9,2021,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,99.747,6.947,12526,county_month_year,10,2021,Shelburne,NA,NA
Temperature,degrees Celsius,15.113,1.462,46873,county_month_year,10,2021,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,96.658,4.86,12134,county_month_year,11,2021,Shelburne,NA,NA
Temperature,degrees Celsius,11.636,1.376,45362,county_month_year,11,2021,Shelburne,NA,NA
